"key","name","entity_type","cui","count"
"(+)","(+)","LAB_VALUE","","2"
"(-)","(-)","LAB_VALUE","","2"
"0.03 mm","0.03 mm","DISTANCE","","1"
"0.04 mm","0.04 mm","DISTANCE","","1"
"0.4 cm","0.4 cm","DISTANCE","","4"
"0.4-0.6 m/s","0.4-0.6 m/s","LAB_VALUE","","5"
"0.5 m/s","0.5 m/s","LAB_VALUE","","1"
"0.6 cm","0.6 cm","DISTANCE","","2"
"0.6 mg","0.6 mg","DOSAGE","","2"
"0.7 m/s","0.7 m/s","LAB_VALUE","","1"
"0.8 mm","0.8 mm","DISTANCE","","1"
"0.8-0.9 m/s","0.8-0.9 m/s","LAB_VALUE","","1"
"0.9 ml","0.9 ml","VOLUME","","2"
"0.9% normal saline","0.9% normal saline","MEDICATION","","3"
"0/3","0/3","LAB_VALUE","","1"
"01/02/2022","01/02/2022","DATE","","1"
"01/04/2021","01/04/2021","DATE","","3"
"04/2023","04/2023","DATE","","1"
"07/10/2021","07/10/2021","DATE","","1"
"08/02/2022","08/02/2022","DATE","","1"
"1.0","1.0","LAB_VALUE","","3"
"1.20 m/s","1.20 m/s","LAB_VALUE","","1"
"1.25 m/s","1.25 m/s","LAB_VALUE","","1"
"1.5 litres","1.5 litres","VOLUME","","3"
"1.5 ml","1.5 ml","VOLUME","","1"
"1.6 ml","1.6 ml","VOLUME","","1"
"1.8 ml","1.8 ml","VOLUME","","1"
"1.8 mm","1.8 mm","DISTANCE","","1"
"1.8-2 m/s","1.8-2 m/s","LAB_VALUE","","1"
"10 ml/minute","10 ml/minute","DOSAGE","","1"
"10 o'clock","10 o'clock","AREA","","1"
"10-14 days","10-14 days","DURATION","","1"
"10.3 ml","10.3 ml","VOLUME","","1"
"10.5 ml","10.5 ml","VOLUME","","1"
"10.6 g/dl","10.6 g/dl","LAB_VALUE","","2"
"10.9 ml","10.9 ml","VOLUME","","1"
"10/10","10/10","SEVERITY","","1"
"10:00","10:00","TIME","","1"
"10:30","10:30","TIME","","1"
"10:40","10:40","TIME","","1"
"10x11x15 mm","10x11x15 mm","QUANTITATIVE_CONCEPT","","2"
"10x13x37 mm","10x13x37 mm","DISTANCE","","1"
"10x30x8 mm","10x30x8 mm","DISTANCE","","1"
"10x4x8 mm","10x4x8 mm","DISTANCE","","1"
"10x5 mm","10x5 mm","QUANTITATIVE_CONCEPT","","2"
"10x5x13 mm","10x5x13 mm","QUANTITATIVE_CONCEPT","","1"
"11.3x8.4 cm","11.3x8.4 cm","DISTANCE","","1"
"11.5 ml","11.5 ml","VOLUME","","2"
"11.7 ml","11.7 ml","VOLUME","","2"
"11/2022","11/2022","DATE","","1"
"110x120 mm","110x120 mm","LAB_VALUE","","3"
"11:15","11:15","TIME","","1"
"11x10x11 mm","11x10x11 mm","QUANTITATIVE_CONCEPT","","1"
"11x23x19 mm","11x23x19 mm","VOLUME","","1"
"11x5x9 mm","11x5x9 mm","DISTANCE","","1"
"11x8x22 mm","11x8x22 mm","DISTANCE","","1"
"11x9x21 mm","11x9x21 mm","DISTANCE","","1"
"12 o'clock","12 o'clock","AREA","","2"
"12 years ago","12 years ago","DATE","","1"
"12.5 ml","12.5 ml","VOLUME","","1"
"12.7 ml","12.7 ml","VOLUME","","1"
"120 ms","120 ms","LAB_VALUE","","2"
"12:00","12:00","TIME","","3"
"12x12x38 mm","12x12x38 mm","QUANTITATIVE_CONCEPT","","1"
"12x13x39 mm","12x13x39 mm","DISTANCE","","1"
"12x16x18 mm","12x16x18 mm","DISTANCE","","1"
